P.of.T,SUBJ,NUMB,SECT,CRN,TITLE,NOTES,HRS,ENRLD,MAXENRL,TIMES,DAYS,LOCATION,INSTRUCTOR,CAMPUS
1,ACCT,2101,W1,49476,PRINCIPLES OF ACCOUNTING I,,3,34,30,,,,"Bui, Analie",On-Line
1,ACCT,2101,WH,50425,PRINCIPLES OF ACCOUNTING I,,3,32,30,05:30-08:15,T,0201 COMPUTER TECHNOLOGY/MATHE,"Calhoun, Alexandra",Main Campus
1,ACCT,2102,W1,49316,PRINCIPLES OF ACCOUNTING II,,3,34,30,,,,"Bui, Analie",On-Line
1,ACCT,3113,WH,47259,INTERMEDIATE ACCOUNTING II,,3,7,30,09:30-10:45,T R,0201 COMPUTER TECHNOLOGY/MATHE,"Davis, Kheylen",Main Campus
1,ACCT,3133,WH,49318,INDIVIDUAL INCOME TAX,,3,9,30,11:00-12:15,M W,0201 COMPUTER TECHNOLOGY/MATHE,"Davis, Kheylen",Main Campus
1,ACCT,4113,WH1,49909,GOVERNMENT NOT-FOR-PROFIT,,3,8,30,05:30-08:15,W,0201 COMPUTER TECHNOLOGY/MATHE,"el-Salman, Fuaad",Main Campus
1,AENT,2833,WH,49502,SURVEYING,,3,31,30,09:00-09:50,M W,0104 ELLIS AG-MECH ACAD,"el-Zaher, Kamaaluddeen",Main Campus
1,AENT,2833*,51,49503,SURVEY LAB,,0,31,30,07:00-08:50,T,0120 ELLIS AG-MECH ACAD,"el-Zaher, Kamaaluddeen",Main Campus
1,AENT,3803,WH,48393,BUILDINGS & RELATED STRUCTURES,,3,12,30,06:00-07:50,M,0128 ELLIS AG-MECH ACAD,"Bouchon, Karis",Main Campus
1,AENT,3803L,51,48394,BUILDNG & RELATED STRUCT LAB,,0,12,30,05:00-06:50,R,0128 ELLIS AG-MECH ACAD,"Bouchon, Karis",Main Campus
1,AENT,3832,WH,49782,INSTRUMENTATION,,2,4,30,10:00-10:50,M W,0125 ELLIS AG-MECH ACAD,"el-Zaher, Kamaaluddeen",Main Campus
1,AENT,3832L,51,49783,INSTRUMENTATION LAB,- No-cost:$0 required txtbk cost,0,4,20,08:00-09:50,M,0116 ELLIS AG-MECH ACAD,"el-Zaher, Kamaaluddeen",Main Campus
1,AENT,4813,1,47928,"SOIL,WATER,&NATURAL RESOURCE",,3,8,20,01:00-01:50,M W,0123 ELLIS AG-MECH ACAD,"Boucher, Samuel",Main Campus
1,AENT,4813L,51,47812,"SOIL,WATER,&NATURAL RES. LAB",,0,8,20,02:00-03:50,F,0123 ELLIS AG-MECH ACAD,"Boucher, Samuel",Main Campus
1,AENT,4833,WH,50099,MACHINERY FOR AGRICULTURE,,3,5,10,09:30-10:45,T R,0123 ELLIS AG-MECH ACAD,"Rose-Williams, Javon",Main Campus
1,AENT,4833,WH1,50513,MACHINERY FOR AGRICULTURE,,3,1,10,08:00-08:50,M W,0123 ELLIS AG-MECH ACAD,"Rose-Williams, Javon",Main Campus
1,AENT,4833L,51,50100,MACHINERY FOR AGRICULTURE LAB,,0,6,10,07:00-08:50,W,0123 ELLIS AG-MECH ACAD,"Rose-Williams, Javon",Main Campus
1,AENT,4881,WH,49504,SENIOR SEMINAR,,1,7,25,05:00-05:50,M,0124 ELLIS AG-MECH ACAD,"Greenstein, Derrick",Main Campus
1,AGEC,3813,1,47632,AGRICULTURAL FINANCE & RECORDS,,3,12,25,05:30-08:30,T,0201 TABOR AGR ACAD,"Torres, Adam",Main Campus
1,AGEC,4823,1,47331,MARKETING AGRICULTURAL PRODUCT,,3,13,25,09:30-10:45,T R,0201 TABOR AGR ACAD,"Bostic, Alisha",Main Campus
1,AGEC,4833,1,49483,AGRICULTURAL POLICIES,,3,12,25,09:00-09:50,M W F,0201 TABOR AGR ACAD,"Ivey, Raven",Main Campus
1,AGEC,4843,1,47605,PRODUCTION ECONOMICS,,3,13,25,08:00-09:15,T R,0201 TABOR AGR ACAD,"Bostic, Alisha",Main Campus
1,AGEC,4853,1,49266,NAT. RESOURCES ECON.,,3,11,25,11:00-11:50,M W F,0201 TABOR AGR ACAD,"Ivey, Raven",Main Campus
1,AGEC,4864,1,49287,SPEC PROB IN AGRI ECONOMIC,,3,12,12,10:00-10:50,M W F,0201 TABOR AGR ACAD,"Bostic, Alisha",Main Campus
1,ANSC,1811,1,47368,INTRO TO ANIMAL AGRICULTURE,,1,76,80,01:00-01:50,R,0105 TABOR AGR ACAD,"Soto, Salvador",Main Campus
1,ANSC,2803,1,47369,GENERAL ANIMAL SCIENCE,,3,79,80,12:00-12:50,M W,0105 TABOR AGR ACAD,"Hocking, Kevin",Main Campus
